time,AccuracyMeters,AgeOfDifferentialSec,AltitudeMeters,BearingAccuracyDegrees,BearingDegrees,LatitudeDegrees,LongitudeDegrees,MockLocation,NumberOfUsedSignals,Provider,ProviderTag,SolutionType,SpeedAccuracyMps,SpeedMps,UnixTimeMillis,VerticalAccuracyMeters,VerticalSpeedAccuracyMps,elapsedRealtimeNanos
2023-09-17T11:54:40Z,3.9,0,74.2,0.0,0.0,68.4974217,16.7029817,0,0,FLP,FLP,0,0.6,5.037142e-07,1694951680264,15.3,0.0,2793723000000
2023-09-17T11:54:41Z,3.9,0,74.2,0.0,0.0,68.4974217,16.7029817,0,0,FLP,FLP,0,0.6,2.9779224e-07,1694951681264,15.9,0.0,2794723000000
2023-09-17T11:54:42Z,3.9,0,74.2,0.0,0.0,68.4974217,16.7029817,0,0,FLP,FLP,0,0.7,2.1467795e-07,1694951682265,16.0,0.0,2795723000000
2023-09-17T11:54:43Z,3.9,0,74.2,0.0,0.0,68.4974217,16.7029817,0,0,FLP,FLP,0,0.7,1.4700942e-07,1694951683264,14.6,0.0,2796723000000
2023-09-17T11:54:44Z,1.5,0,74.2,179.9,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.6,0.0,1694951684000,15.3,0.0,2793723000000
2023-09-17T11:54:44Z,3.831,0,74.2,0.0,0.0,68.497422,16.7029727,0,0,FLP,FLP,0,0.0,0.0037880577,1694951684839,15.0,0.0,2798298850811
2023-09-17T11:54:45Z,1.5,0,74.2,179.9,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.6,0.0,1694951685000,15.9,0.0,2794723000000
2023-09-17T11:54:45Z,3.744,0,74.2,0.0,0.0,68.4974221,16.7029688,0,0,FLP,FLP,0,0.0,0.006760878,1694951685929,13.3,0.0,2799388317830
2023-09-17T11:54:46Z,1.5,0,74.2,179.9,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.7,0.0,1694951686000,16.0,0.0,2795723000000
2023-09-17T11:54:46Z,3.698,0,74.2,0.0,0.0,68.4974222,16.702968,0,0,FLP,FLP,0,0.0,0.0046502254,1694951686474,13.3,0.0,2799933051496
2023-09-17T11:54:47Z,1.5,0,74.2,179.9,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.7,0.0,1694951687000,14.6,0.0,2796723000000
2023-09-17T11:54:47Z,3.702,0,74.2,0.0,0.0,68.4974224,16.7029673,0,0,FLP,FLP,0,0.0,0.0033788688,1694951687018,12.8,0.0,2800477784676
2023-09-17T11:54:48Z,1.5,0,74.2,179.9,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.6,0.0,1694951688000,14.8,0.0,2797723000000
2023-09-17T11:54:48Z,3.694,0,74.2,0.0,0.0,68.4974231,16.7029674,0,0,FLP,FLP,0,0.0,0.0030214884,1694951688108,13.2,0.0,2801567251318
2023-09-17T11:54:49Z,1.5,0,74.2,172.3,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.6,0.0,1694951689000,15.0,0.0,2798723000000
2023-09-17T11:54:49Z,3.687,0,74.2,0.0,0.0,68.4974237,16.7029671,0,0,FLP,FLP,0,0.0,0.0044492246,1694951689197,13.8,0.0,2802656718314
2023-09-17T11:54:50Z,1.5,0,74.2,179.9,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.6,0.0,1694951690000,13.3,0.0,2799723000000
2023-09-17T11:54:50Z,3.706,0,74.2,0.0,0.0,68.4974245,16.7029677,0,0,FLP,FLP,0,0.0,0.0032372752,1694951690832,13.5,0.0,2804290917579
2023-09-17T11:54:51Z,1.5,0,74.2,179.9,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.6,0.0,1694951691000,12.8,0.0,2800723000000
2023-09-17T11:54:51Z,3.746,0,74.2,0.0,0.0,68.4974248,16.7029686,0,0,FLP,FLP,0,0.0,0.0032183095,1694951691921,13.4,0.0,2805380384863
2023-09-17T11:54:52Z,1.5,0,74.2,179.9,320.67,68.4974216667,16.7029816667,0,0,GPS,GPS,0,0.6,0.0,1694951692000,13.2,0.0,2801723000000
